Date,AAPL,ABBV,ABT,ACN,ADBE,AMD,AMZN,AVGO,BAC,BMY,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOG,GOOGL,HD,INTC,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NFLX,NVDA,PEP,PFE,PG,PM,QCOM,TMO,TSLA,TXN,UNH,UPS,V,VZ,WMT,XOM
2016-08-16,27.344999313354492,66.73999786376953,44.91999816894531,112.9800033569336,100.5999984741211,6.78000020980835,38.20199966430664,17.239999771118164,15.170000076293945,59.40999984741211,33.654998779296875,168.41000366210938,77.95999908447266,31.1200008392334,102.62000274658203,71.54255676269531,96.87999725341797,38.856998443603516,40.05950164794922,136.22999572753906,35.209999084472656,120.33000183105469,65.70999908447266,43.83000183105469,121.2699966430664,79.83999633789062,81.4800033569336,95.62000274658203,117.94000244140625,123.30000305175781,60.152671813964844,57.439998626708984,30.997499465942383,9.51200008392334,1.565000057220459,108.0,33.007591247558594,86.58000183105469,99.47000122070312,62.06999969482422,154.97000122070312,14.907333374023438,69.81999969482422,141.0800018310547,109.80999755859375,80.80999755859375,52.7599983215332,24.296667098999023,87.91999816894531
2016-08-17,27.30500030517578,66.83000183105469,44.68000030517578,112.93000030517578,99.69999694824219,6.679999828338623,38.23149871826172,17.30299949645996,15.149999618530273,58.29999923706055,33.8849983215332,167.9600067138672,76.31999969482422,30.719999313354492,102.22000122070312,71.82624053955078,96.87000274658203,38.99549865722656,40.270999908447266,136.14999389648438,35.02000045776367,121.30999755859375,65.88999938964844,44.060001373291016,120.44000244140625,80.11000061035156,76.87999725341797,95.58999633789062,117.0999984741211,124.37000274658203,60.39122009277344,57.560001373291016,31.450000762939453,9.63700008392334,1.528749942779541,108.47000122070312,33.339656829833984,86.95999908447266,100.29000091552734,62.279998779296875,154.6699981689453,14.88266658782959,69.81999969482422,141.7100067138672,110.23999786376953,80.83999633789062,53.16999816894531,24.309999465942383,88.11000061035156
2016-08-18,27.270000457763672,66.7699966430664,44.36000061035156,112.3499984741211,100.66999816894531,7.039999961853027,38.222999572753906,17.39299964904785,15.15999984741211,58.68000030517578,33.70500183105469,167.75,76.91000366210938,30.479999542236328,103.55000305175781,71.41844177246094,96.6500015258789,38.875,40.13750076293945,134.8000030517578,34.970001220703125,120.72000122070312,65.94999694824219,44.099998474121094,121.88999938964844,79.77999877929688,76.43000030517578,95.2699966430664,117.12999725341797,123.91000366210938,60.71564865112305,57.599998474121094,31.739999771118164,9.616000175476074,1.5525000095367432,108.27999877929688,33.3870964050293,87.44000244140625,100.33999633789062,63.040000915527344,153.35000610351562,14.900667190551758,70.12999725341797,142.1699981689453,110.48999786376953,80.2699966430664,52.869998931884766,24.766666412353516,88.91000366210938
2016-08-19,27.34000015258789,67.0999984741211,44.2400016784668,113.05000305175781,100.31999969482422,7.619999885559082,37.865501403808594,17.493000030517578,15.220000267028809,59.290000915527344,33.14500045776367,168.02000427246094,77.4800033569336,30.520000457763672,102.31999969482422,71.57801055908203,96.38999938964844,38.770999908447266,39.98249816894531,135.4600067138672,35.2400016784668,119.91999816894531,65.86000061035156,43.91999816894531,122.55999755859375,79.05999755859375,77.81999969482422,95.22000122070312,115.01000213623047,123.55999755859375,60.45801544189453,57.619998931884766,31.270000457763672,9.586999893188477,1.55649995803833,108.16999816894531,33.1878547668457,87.30999755859375,99.93000030517578,62.7599983215332,153.5800018310547,15.0,70.2699966430664,142.0399932861328,110.56999969482422,80.47000122070312,52.45000076293945,24.270000457763672,87.80000305175781
2016-08-22,27.127500534057617,67.01000213623047,44.16999816894531,113.76000213623047,100.23999786376953,7.579999923706055,37.9739990234375,17.593000411987305,15.180000305175781,59.2599983215332,33.220001220703125,167.94000244140625,77.25,30.6299991607666,101.94000244140625,71.74645233154297,95.87000274658203,38.60749816894531,39.84749984741211,135.33999633789062,35.36000061035156,119.12999725341797,65.80000305175781,43.7400016784668,122.43000030517578,79.29000091552734,77.29000091552734,95.79000091552734,115.41999816894531,124.1500015258789,60.639312744140625,57.66999816894531,31.260000228881836,9.526000022888184,1.562999963760376,107.95999908447266,33.05502700805664,86.8499984741211,100.12000274658203,62.83000183105469,153.99000549316406,14.862000465393066,70.0,142.08999633789062,109.83000183105469,81.05999755859375,52.54999923706055,24.233333587646484,87.98999786376953
2016-08-23,27.212499618530273,66.16999816894531,43.900001525878906,115.4800033569336,101.13999938964844,7.670000076293945,38.122501373291016,17.733999252319336,15.350000381469727,59.86000061035156,32.83000183105469,167.36000061035156,78.0199966430664,30.979999542236328,101.68000030517578,71.8351058959961,95.97000122070312,38.604000091552734,39.829498291015625,136.22000122070312,35.400001525878906,119.44000244140625,65.7699966430664,43.849998474121094,122.44999694824219,79.56999969482422,77.30000305175781,96.29000091552734,115.19000244140625,124.37000274658203,60.667938232421875,57.88999938964844,31.0674991607666,9.593999862670898,1.5727499723434448,107.87999725341797,33.29222106933594,87.4000015258789,100.38999938964844,63.09000015258789,154.5500030517578,14.989333152770996,69.9800033569336,142.00999450683594,109.44000244140625,80.80000305175781,52.630001068115234,23.989999771118164,87.72000122070312
2016-08-24,27.00749969482422,65.05999755859375,43.16999816894531,114.56999969482422,101.13999938964844,7.429999828338623,37.86249923706055,17.530000686645508,15.399999618530273,58.59000015258789,32.845001220703125,167.57000732421875,77.81999969482422,31.059999465942383,102.19999694824219,71.4627685546875,95.81999969482422,38.481998443603516,39.68000030517578,135.05999755859375,35.150001525878906,118.70999908447266,65.94999694824219,43.849998474121094,122.08999633789062,78.44000244140625,76.95999908447266,95.52999877929688,114.87000274658203,123.4800033569336,59.856868743896484,57.95000076293945,31.037500381469727,9.517999649047852,1.5484999418258667,108.11000061035156,33.03605270385742,87.30999755859375,100.12999725341797,62.61000061035156,151.25999450683594,14.841333389282227,69.9000015258789,139.8699951171875,109.63999938964844,80.29000091552734,52.529998779296875,24.07666778564453,88.0199966430664
2016-08-25,26.892499923706055,64.72000122070312,42.84000015258789,115.04000091552734,101.69000244140625,7.46999979019165,37.96099853515625,17.604000091552734,15.529999732971191,58.7599983215332,32.779998779296875,164.86000061035156,80.16000366210938,31.290000915527344,101.88999938964844,71.38298034667969,95.55000305175781,38.47050094604492,39.564998626708984,135.42999267578125,35.09000015258789,118.56999969482422,66.06999969482422,43.66999816894531,123.04000091552734,78.01000213623047,77.47000122070312,95.58999633789062,115.43000030517578,123.88999938964844,59.46564865112305,58.16999816894531,31.127500534057617,9.732000350952148,1.5382499694824219,107.87999725341797,32.98861312866211,87.9000015258789,99.83999633789062,62.63999938964844,151.35000610351562,14.730667114257812,69.81999969482422,137.3000030517578,109.33000183105469,80.31999969482422,52.75,23.739999771118164,87.45999908447266
2016-08-26,26.735000610351562,64.61000061035156,42.97999954223633,115.19999694824219,102.05999755859375,7.670000076293945,38.45000076293945,17.715999603271484,15.789999961853027,58.77000045776367,32.755001068115234,163.92999267578125,80.02999877929688,31.350000381469727,101.31999969482422,71.9858169555664,95.20999908447266,38.47700119018555,39.6609992980957,134.36000061035156,35.2599983215332,119.04000091552734,66.22000122070312,43.31999969482422,121.81999969482422,78.23999786376953,76.9000015258789,96.47000122070312,114.44000244140625,124.95999908447266,59.97137451171875,58.029998779296875,30.405000686645508,9.758000373840332,1.5507500171661377,107.44999694824219,33.03605270385742,87.58000183105469,99.0999984741211,62.970001220703125,152.36000061035156,14.666000366210938,69.75,136.6199951171875,108.94999694824219,80.56999969482422,52.06999969482422,23.713333129882812,87.2699966430664
2016-08-29,26.704999923706055,64.51000213623047,43.25,114.8499984741211,102.30000305175781,7.590000152587891,38.56449890136719,17.739999771118164,15.84000015258789,58.7599983215332,32.83000183105469,163.97999572753906,79.91999816894531,31.579999923706055,102.05000305175781,72.55319213867188,94.87000274658203,38.60749816894531,39.79100036621094,135.24000549316406,35.54999923706055,119.91999816894531,66.94999694824219,43.540000915527344,122.25,78.5999984741211,77.18000030517578,96.77999877929688,115.41000366210938,126.54000091552734,60.124046325683594,58.099998474121094,30.584999084472656,9.729999542236328,1.5497499704360962,107.98999786376953,33.311195373535156,88.30000305175781,100.26000213623047,62.97999954223633,153.50999450683594,14.346667289733887,69.9800033569336,137.27000427246094,109.12000274658203,80.87000274658203,52.5,23.799999237060547,87.83999633789062
